V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
8.0,5.0,25,0.0,74.0,174.0,76.0,7.0,3.0,28.0,32.0,2.0,1.8620689655172413,1.7011494252873565
10.0,2.5,33,0.0,68.0,149.0,69.0,5.0,3.0,21.0,29.0,1.0,1.738255033557047,1.6375838926174495
6.0,2.9166666666666665,32,0.0,70.0,176.0,,5.0,3.0,12.0,31.0,,1.2272727272727273,1.3977272727272727
10.0,11.666666666666666,33,0.0,69.5,145.0,69.5,11.0,7.0,24.0,35.0,0.0,1.6068965517241378,1.8551724137931034
6.0,3.3333333333333335,26,1.0,70.0,155.0,70.0,3.0,1.0,10.0,2.0,0.0,1.2580645161290323,1.2258064516129032
5.0,2.0,27,0.0,67.0,150.0,67.0,3.0,1.0,40.0,60.0,0.0,1.4,1.8
10.0,0.0,31,0.0,71.5,140.0,72.5,5.0,1.0,30.0,50.0,1.0,1.6785714285714286,1.7142857142857144
5.0,5.0,39,1.0,66.0,136.0,64.0,3.0,1.0,9.0,15.0,-2.0,,
5.0,13.333333333333334,39,0.0,68.0,159.0,68.0,5.0,3.0,,25.0,0.0,1.251572327044025,1.3773584905660377
5.0,1.1111111111111112,27,0.0,67.0,147.0,69.0,3.0,1.0,16.0,51.0,2.0,1.4081632653061225,1.510204081632653
5.0,3.888888888888889,28,0.0,76.4,183.0,77.0,3.0,1.0,15.0,,0.5999999999999943,1.4043715846994536,1.4808743169398908
8.0,6.25,25,1.0,65.0,108.0,65.0,5.0,1.0,6.0,12.0,0.0,1.2777777777777777,1.2314814814814814
10.0,6.666666666666667,24,0.0,68.0,143.0,70.0,1.0,1.0,26.0,43.0,2.0,1.5944055944055944,
11.0,0.8333333333333334,34,0.0,70.0,158.0,70.0,9.0,1.0,19.0,37.0,0.0,1.4430379746835442,1.6329113924050633
9.0,7.777777777777778,25,0.0,71.0,147.0,73.0,5.0,3.0,15.0,25.0,2.0,1.3401360544217686,1.5510204081632653
4.0,3.3333333333333335,26,1.0,68.0,140.0,66.0,5.0,1.0,9.0,20.0,-2.0,1.0,1.1785714285714286
3.0,2.0833333333333335,37,0.0,71.0,190.0,72.0,5.0,1.0,8.0,30.0,1.0,1.0,1.1578947368421053
12.0,7.083333333333333,34,0.0,69.0,145.0,73.0,11.0,11.0,24.0,31.0,4.0,1.5034482758620689,1.5517241379310345
13.0,11.11111111111111,27,0.0,67.0,148.0,70.0,11.0,3.0,21.0,30.0,3.0,1.9797297297297298,1.8445945945945947
6.0,4.444444444444445,26,1.0,62.5,105.0,61.75,7.0,1.0,11.0,29.0,-0.75,,
8.0,2.5,35,0.0,72.0,170.0,75.0,11.0,5.0,15.0,29.0,3.0,1.6470588235294117,1.4117647058823528
8.0,6.666666666666667,27,0.0,70.0,175.0,73.0,5.0,3.0,19.0,31.0,3.0,1.5371428571428571,1.5371428571428571
8.0,8.333333333333334,33,0.0,67.0,127.0,68.5,7.0,5.0,24.0,70.0,1.5,,
8.0,10.0,30,0.0,73.0,194.0,73.0,11.0,5.0,25.0,25.0,0.0,1.4123711340206184,1.4123711340206184
5.0,6.666666666666667,21,0.0,71.0,165.0,69.0,3.0,1.0,17.0,40.0,-2.0,1.3636363636363638,1.5151515151515151
4.0,12.5,33,1.0,62.0,110.0,63.0,7.0,1.0,4.0,10.0,1.0,1.1818181818181819,1.0818181818181818
6.0,0.6666666666666666,30,0.0,70.0,130.0,72.0,5.0,3.0,14.0,24.0,2.0,1.3461538461538463,1.4615384615384617
